head_id,family_id,head,family,rule
11071-3,11071,*lēlla,*līra,explicitly linked numbered CDIAL subhead
11072-2,11072,*lugga,*lukka,explicitly linked numbered CDIAL subhead
11072-3,11072,*luŋka,*lukka,explicitly linked numbered CDIAL subhead
11072-4,11072,*luŋkʰa,*lukka,explicitly linked numbered CDIAL subhead
11072-5,11072,*luŋga,*lukka,explicitly linked numbered CDIAL subhead
11072-6,11072,*luŋgara,*lukka,explicitly linked numbered CDIAL subhead
11072-7,11072,*lōkka,*lukka,explicitly linked numbered CDIAL subhead
11073-2,11073,*luñca,*lucca,explicitly linked numbered CDIAL subhead
11073-3,11073,*luñja,*lucca,explicitly linked numbered CDIAL subhead
11073-4,11073,*lōcca,*lucca,explicitly linked numbered CDIAL subhead
11073-5,11073,*lōjjʰa,*lucca,explicitly linked numbered CDIAL subhead
11076-10,11076,*lōṭṭʰa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-11,11076,*lōṇṭʰa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-2,11076,*luṭṭʰa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-3,11076,*luḍa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-4,11076,*luḍḍa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-5,11076,*luṇṭa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-6,11076,luṇṭʰaka,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-7,11076,*luṇḍa,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-8,11076,*luṇḍara,*luṭṭa,explicitly linked numbered CDIAL subhead
11076-9,11076,*lōṭṭa-,*luṭṭa,explicitly linked numbered CDIAL subhead
11077-2,11077,*luḍa-,*luṭṭa,explicitly linked numbered CDIAL subhead
11077-3,11077,luṇḍikā,*luṭṭa,explicitly linked numbered CDIAL subhead
11077-4,11077,*lōṭṭa,*luṭṭa,explicitly linked numbered CDIAL subhead
11078-2,11078,*lūṭati,*luṭṭati,explicitly linked numbered CDIAL subhead
11078-3,11078,lúṇṭati,*luṭṭati,explicitly linked numbered CDIAL subhead
11078-4,11078,*luṭʰati,*luṭṭati,explicitly linked numbered CDIAL subhead
11079-2,11079,*luṭʰyati,luṭʰáti,explicitly linked numbered CDIAL subhead
11079-3,11079,lōṭʰayati,luṭʰáti,explicitly linked numbered CDIAL subhead
1108-2,1108,*āḍʰiya,āḍʰyá,explicitly linked numbered CDIAL subhead
11080-2,11080,*luḍyati,luḍáti,explicitly linked numbered CDIAL subhead
11080-3,11080,*luṇḍati,luḍáti,explicitly linked numbered CDIAL subhead
11080-4,11080,lōḍayati,luḍáti,explicitly linked numbered CDIAL subhead
11080-5,11080,lōḍyatē,luḍáti,explicitly linked numbered CDIAL subhead
11081-10,11081,*lōddara,*lutta,explicitly linked numbered CDIAL subhead
