gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
intestine	ṍʐe	-e	2	stress-marked	"[""ṍʐi""]"	[2]	"[""f_f6kwh4m5go2cc""]"	f_au4f4ncglpxwq	[]	
joints	khriʦí	-i	1	stress-marked	[]	[]	[]	f_6l6ky7pku5u36	[]	
kidney	ʐúki	-i	2	stress-marked	"[""ʐúk""]"	[1]	"[""f_gpreruffrxhhe""]"	f_qwb3px62dq5bo	[]	
leg e] pl.	kíye	-e	2	stress-marked	"[""kí""]"	[1]	"[""f_vqtjfwustbrg6""]"	f_zyevwyumjs2no	[]	
lips	ó:ʈe	-e	2	stress-marked	"[""ó:ʈo""]"	[2]	"[""f_r6zcwdizjg3ty""]"	f_k4j2fvlhhbqyk	[]	
liver	yú:ŋe	-e	2	stress-marked	"[""yú:ŋ""]"	[1]	"[""f_76feiecokbojk""]"	f_pw3jtn2xowmns	[]	
lung	ɖó:re	-e	2	stress-marked	"[""ɖó:ro""]"	[2]	"[""f_gugzwn7u2ty7u""]"	f_ehvdafyachf4i	[]	
nose	nóte	-e	2	stress-marked	"[""nóto""]"	[2]	"[""f_oqy7ksfzh2yfs""]"	f_7r7bnh6nsvtwu	"[""7031""]"	
rib	prʌ́ʃe	-e	2	stress-marked	"[""prʌ́ʃu""]"	[2]	"[""f_oqwxnnctxsc3c""]"	f_xk4jhmy36bhys	[]	
shoulder	phíʤe	-e	2	stress-marked	"[""phíʤo""]"	[2]	"[""f_ssgmulil4l2ji""]"	f_qxi5vvixecsmk	[]	
skin	ʧóme	-e	2	stress-marked	"[""ʧóm""]"	[1]	"[""f_apc4x6cvn7zc4""]"	f_766uzyhomkxfs	[]	
stomach :] pl.	ã́ʐlé:	other		multiple-stress	"[""ã́ʐló:""]"	"[""""]"	"[""f_wywrvshj6cc3y""]"	f_buup53xna3cyk	[]	
